engine,cycle,(Fan inlet temperature) (◦R),(LPC outlet temperature) (◦R),(HPC outlet temperature) (◦R),(LPT outlet temperature) (◦R),(Fan inlet Pressure) (psia),(bypass-duct pressure) (psia),(HPC outlet pressure) (psia),(Physical fan speed) (rpm),(Physical core speed) (rpm),(Engine pressure ratio(P50/P2),(HPC outlet Static pressure) (psia),(Ratio of fuel flow to Ps30) (pps/psia),(Corrected fan speed) (rpm),(Corrected core speed) (rpm),(Bypass Ratio) ,(Burner fuel-air ratio),(Bleed Enthalpy),(Required fan speed),(Required fan conversion speed),(High-pressure turbines Cool air flow),(Low-pressure turbines Cool air flow),RUL
43,172,518.67,642.77,1594.19,1418.4,14.62,21.61,552.25,2388.13,9052.93,1.3,47.6,520.86,2388.16,8135.46,8.4456,0.03,394,2388,100.0,38.63,23.2379,59
44,54,518.67,642.49,1582.3,1415.29,14.62,21.61,552.97,2388.13,9057.77,1.3,47.52,521.73,2388.1,8131.44,8.4391,0.03,392,2388,100.0,38.85,23.3058,109
45,152,518.67,642.75,1598.59,1410.33,14.62,21.61,553.2,2388.15,9067.31,1.3,47.57,520.76,2388.15,8140.56,8.4695,0.03,394,2388,100.0,38.58,23.312,114
46,146,518.67,642.79,1594.28,1413.17,14.62,21.61,552.73,2388.12,9080.61,1.3,47.74,520.97,2388.11,8153.86,8.4628,0.03,393,2388,100.0,38.61,23.1876,47
47,73,518.67,642.73,1587.09,1402.79,14.62,21.61,553.05,2388.16,9038.32,1.3,47.44,521.29,2388.14,8125.57,8.4586,0.03,392,2388,100.0,38.79,23.2595,135
48,78,518.67,642.77,1591.34,1402.73,14.62,21.61,553.83,2388.1,9054.14,1.3,47.7,522.03,2388.15,8137.24,8.4515,0.03,393,2388,100.0,38.8,23.3238,92
49,303,518.67,643.21,1607.55,1425.3,14.62,21.61,552.0,2388.21,9052.48,1.3,48.01,520.27,2388.22,8132.46,8.5168,0.03,396,2388,100.0,38.56,23.1167,21
50,74,518.67,642.66,1582.59,1397.65,14.62,21.61,553.18,2388.05,9066.84,1.3,47.5,521.91,2388.06,8142.07,8.4719,0.03,393,2388,100.0,38.98,23.291,79
51,144,518.67,642.56,1585.08,1406.6,14.62,21.61,553.58,2388.1,9053.37,1.3,47.5,521.25,2388.12,8127.61,8.4577,0.03,394,2388,100.0,38.77,23.3108,114
52,189,518.67,643.15,1600.96,1412.05,14.62,21.61,553.19,2388.11,9122.6,1.3,47.55,521.27,2388.07,8192.02,8.4645,0.03,395,2388,100.0,38.66,23.211,29
53,164,518.67,642.87,1602.76,1418.18,14.62,21.61,553.09,2388.08,9102.33,1.3,47.75,520.98,2388.05,8180.97,8.4702,0.03,394,2388,100.0,38.64,23.1671,26
54,121,518.67,642.43,1580.89,1399.84,14.62,21.61,555.07,2388.05,9064.43,1.3,47.34,522.28,2387.97,8143.64,8.3926,0.03,392,2388,100.0,38.95,23.4385,97
55,113,518.67,642.2,1585.68,1399.63,14.62,21.61,553.37,2388.09,9056.16,1.3,47.5,521.92,2388.04,8135.62,8.4276,0.03,393,2388,100.0,38.93,23.3438,137
56,136,518.67,643.32,1598.6,1416.85,14.62,21.61,551.45,2388.23,9035.55,1.3,48.02,520.0,2388.23,8116.7,8.5235,0.03,395,2388,100.0,38.51,23.1772,15
57,160,518.67,642.17,1590.38,1411.95,14.62,21.61,552.43,2388.11,9043.8,1.3,47.59,521.61,2388.19,8131.76,8.4603,0.03,394,2388,100.0,38.77,23.291,103
58,176,518.67,643.01,1596.72,1418.42,14.62,21.61,553.07,2388.24,9058.12,1.3,47.78,521.2,2388.2,8128.82,8.497,0.03,392,2388,100.0,38.46,23.1747,37
59,94,518.67,642.18,1584.24,1401.21,14.62,21.61,553.72,2388.0,9055.0,1.3,47.08,521.78,2388.05,8140.39,8.4267,0.03,390,2388,100.0,38.92,23.4337,114
60,147,518.67,642.86,1592.46,1402.77,14.62,21.61,553.31,2388.12,9054.22,1.3,47.53,521.66,2388.07,8136.13,8.4484,0.03,394,2388,100.0,38.87,23.2971,100
61,159,518.67,643.29,1603.16,1414.17,14.62,21.61,552.74,2388.16,9065.79,1.3,47.81,520.97,2388.17,8147.51,8.4725,0.03,395,2388,100.0,38.64,23.1314,21
62,232,518.67,642.83,1594.78,1407.86,14.62,21.61,553.81,2388.03,9096.2,1.3,47.52,521.2,2388.06,8162.08,8.4622,0.03,394,2388,100.0,38.75,23.2719,54
63,155,518.67,643.26,1592.19,1412.74,14.62,21.61,552.8,2388.19,9052.57,1.3,47.79,521.17,2388.17,8131.3,8.4704,0.03,393,2388,100.0,38.8,23.2344,72
64,168,518.67,643.01,1597.94,1417.14,14.62,21.61,552.05,2388.22,9056.25,1.3,47.73,520.97,2388.13,8133.0,8.4665,0.03,394,2388,100.0,38.61,23.167,28
65,71,518.67,641.75,1588.1,1398.17,14.62,21.6,554.39,2388.03,9063.17,1.3,47.1,522.65,2388.03,8153.06,8.424,0.03,392,2388,100.0,39.19,23.327,128
66,147,518.67,643.34,1599.38,1422.98,14.62,21.61,552.06,2388.09,9122.3,1.3,47.92,520.75,2388.11,8197.69,8.4838,0.03,396,2388,100.0,38.61,23.0669,14
67,71,518.67,642.39,1593.86,1409.97,14.62,21.61,554.52,2388.12,9046.26,1.3,47.27,521.75,2388.11,8141.98,8.3732,0.03,392,2388,100.0,38.78,23.2914,77
68,187,518.67,643.21,1602.07,1427.25,14.62,21.61,552.0,2388.2,9086.59,1.3,48.04,520.47,2388.22,8160.32,8.4867,0.03,396,2388,100.0,38.63,23.1989,8
69,54,518.67,642.31,1593.68,1403.96,14.62,21.61,553.66,2388.12,9048.62,1.3,47.37,521.84,2388.16,8128.39,8.4387,0.03,393,2388,100.0,38.95,23.1958,121
70,152,518.67,642.71,1588.56,1406.49,14.62,21.61,553.01,2388.1,9054.84,1.3,47.67,521.65,2388.11,8133.88,8.4349,0.03,394,2388,100.0,38.85,23.2231,94
71,68,518.67,642.52,1585.45,1400.97,14.62,21.61,553.17,2388.01,9068.53,1.3,47.35,522.42,2388.08,8146.19,8.4386,0.03,391,2388,100.0,38.93,23.3188,118
72,131,518.67,642.9,1588.49,1410.57,14.62,21.61,553.52,2388.11,9072.03,1.3,47.69,521.47,2388.09,8149.27,8.445,0.03,394,2388,100.0,38.91,23.2905,50
73,112,518.67,642.27,1576.93,1398.62,14.62,21.61,554.41,2388.08,9051.39,1.3,47.25,522.02,2388.05,8136.87,8.4317,0.03,393,2388,100.0,38.95,23.3074,131
74,137,518.67,642.61,1595.16,1406.15,14.62,21.61,552.44,2388.1,9063.35,1.3,47.54,521.39,2388.07,8139.59,8.4362,0.03,392,2388,100.0,38.79,23.201,126
75,88,518.67,642.13,1594.47,1403.3,14.62,21.61,554.11,2388.12,9051.28,1.3,47.4,521.52,2388.1,8132.14,8.4316,0.03,392,2388,100.0,38.98,23.4919,113
76,205,518.67,643.14,1603.48,1420.07,14.62,21.61,551.82,2388.18,9114.99,1.3,48.04,520.19,2388.14,8182.45,8.5125,0.03,395,2388,100.0,38.46,23.0737,10
77,162,518.67,642.79,1593.81,1418.62,14.62,21.61,552.24,2388.25,9045.43,1.3,47.81,520.16,2388.21,8128.16,8.4543,0.03,396,2388,100.0,38.75,23.1712,34
78,72,518.67,641.78,1580.66,1389.33,14.62,21.61,554.93,2387.99,9062.94,1.3,47.2,522.51,2387.96,8148.46,8.3793,0.03,391,2388,100.0,39.0,23.2748,107
79,101,518.67,642.43,1590.94,1405.39,14.62,21.61,553.4,2388.15,9040.39,1.3,47.66,521.55,2388.14,8125.55,8.4516,0.03,393,2388,100.0,38.72,23.287,63
80,133,518.67,642.64,1591.41,1407.15,14.62,21.61,552.63,2388.11,9069.7,1.3,47.57,521.05,2388.02,8142.89,8.4671,0.03,393,2388,100.0,38.69,23.2813,90
81,213,518.67,643.49,1598.35,1427.83,14.62,21.61,551.53,2388.2,9075.26,1.3,48.11,519.67,2388.22,8148.37,8.4987,0.03,397,2388,100.0,38.46,23.1537,8
82,162,518.67,643.57,1597.99,1427.69,14.62,21.61,551.15,2388.2,9058.64,1.3,48.08,520.02,2388.29,8126.2,8.5028,0.03,397,2388,100.0,38.62,23.1211,9
83,73,518.67,642.81,1594.68,1406.9,14.62,21.61,553.87,2388.06,9058.7,1.3,47.2,521.67,2388.09,8141.38,8.4309,0.03,392,2388,100.0,38.74,23.3021,137
84,172,518.67,643.39,1588.7,1412.73,14.62,21.61,552.47,2388.16,9050.57,1.3,47.6,520.88,2388.22,8130.61,8.4791,0.03,395,2388,100.0,38.62,23.2039,58
85,34,518.67,642.58,1582.94,1413.22,14.62,21.61,553.55,2388.07,9045.23,1.3,47.73,521.43,2388.09,8126.6,8.4228,0.03,393,2388,100.0,38.84,23.3107,118
86,110,518.67,643.07,1586.29,1404.83,14.62,21.61,553.65,2388.05,9074.53,1.3,47.52,521.52,2388.13,8148.14,8.45,0.03,394,2388,100.0,38.94,23.2484,89
87,56,518.67,642.18,1584.33,1391.48,14.62,21.61,554.39,2388.04,9056.99,1.3,47.4,522.15,2388.02,8146.94,8.4313,0.03,393,2388,100.0,38.89,23.2605,116
88,68,518.67,642.91,1593.67,1405.22,14.62,21.61,553.68,2388.14,9046.75,1.3,47.39,521.69,2388.18,8127.79,8.4101,0.03,394,2388,100.0,38.8,23.4181,115
89,177,518.67,642.91,1588.94,1407.43,14.62,21.61,553.18,2388.08,9057.58,1.3,47.36,521.47,2388.12,8130.76,8.4575,0.03,395,2388,100.0,38.82,23.235,136
90,146,518.67,643.45,1587.78,1418.85,14.62,21.61,552.31,2388.19,9087.59,1.3,48.0,521.32,2388.09,8156.46,8.4686,0.03,393,2388,100.0,38.6,23.1409,28
91,234,518.67,643.18,1605.05,1419.74,14.62,21.61,552.22,2388.2,9052.13,1.3,48.01,520.96,2388.21,8123.71,8.5104,0.03,395,2388,100.0,38.73,23.2522,38
92,150,518.67,644.03,1597.06,1414.07,14.62,21.61,550.88,2388.23,9049.25,1.3,47.98,520.17,2388.19,8122.89,8.4804,0.03,394,2388,100.0,38.53,23.1211,20
93,244,518.67,643.02,1598.84,1416.19,14.62,21.61,552.86,2388.15,9074.82,1.3,47.67,520.66,2388.14,8155.63,8.4826,0.03,392,2388,100.0,38.7,23.1944,85
94,133,518.67,642.77,1589.5,1420.94,14.62,21.61,552.78,2388.17,9051.22,1.3,47.81,520.62,2388.13,8133.36,8.5167,0.03,393,2388,100.0,38.63,23.2933,55
95,89,518.67,641.97,1586.25,1398.61,14.62,21.61,553.47,2388.08,9052.14,1.3,47.42,521.95,2388.1,8135.14,8.4294,0.03,394,2388,100.0,38.94,23.3458,128
96,97,518.67,642.3,1590.88,1397.94,14.62,21.61,553.99,2388.03,9062.41,1.3,47.14,522.3,2388.01,8148.24,8.411,0.03,391,2388,100.0,38.96,23.4606,137
97,134,518.67,642.59,1582.96,1410.92,14.62,21.61,554.05,2388.06,9076.36,1.3,47.38,521.58,2388.06,8155.48,8.45,0.03,395,2388,100.0,38.61,23.2953,82
98,121,518.67,642.68,1599.51,1415.47,14.62,21.61,553.44,2388.13,9062.34,1.3,47.66,521.53,2388.09,8146.39,8.4235,0.03,394,2388,100.0,38.76,23.3608,59
99,97,518.67,642.0,1585.03,1397.98,14.62,21.61,554.75,2388.01,9067.16,1.3,47.26,521.82,2388.02,8150.38,8.4003,0.03,391,2388,100.0,38.95,23.3595,117
100,198,518.67,642.95,1601.62,1424.99,14.62,21.61,552.48,2388.06,9155.03,1.3,47.8,521.07,2388.05,8214.64,8.4903,0.03,396,2388,100.0,38.7,23.1855,20
1,258,489.05,605.42,1515.0,1325.07,10.52,15.5,393.58,2319.11,8826.49,1.26,45.89,370.87,2388.32,8167.06,8.7456,0.03,371,2319,100.0,28.3,17.0934,18
2,55,518.67,642.67,1591.67,1418.17,14.62,21.61,553.36,2388.17,9056.17,1.3,47.43,521.1,2388.12,8138.12,8.4248,0.03,393,2388,100.0,38.82,23.3463,79
3,165,449.44,555.86,1370.62,1135.59,5.48,8.0,194.58,2222.96,8353.33,1.02,41.91,183.11,2388.07,8071.23,9.3094,0.02,332,2223,100.0,14.75,8.9589,106
4,86,491.19,607.99,1487.94,1257.49,9.35,13.66,334.39,2324.07,8733.15,1.08,44.48,314.88,2388.12,8062.39,9.2349,0.02,365,2324,100.0,24.22,14.6814,110
5,148,445.0,550.81,1358.95,1140.34,3.91,5.72,138.42,2212.9,8391.57,1.02,42.43,130.82,2389.06,8140.94,9.3964,0.02,333,2212,100.0,10.34,6.3601,15
6,63,449.44,555.7,1361.99,1122.03,5.48,8.0,194.96,2223.0,8352.69,1.02,41.84,182.57,2387.99,8066.4,9.2945,0.02,333,2223,100.0,14.69,8.9375,155
7,184,445.0,550.65,1361.7,1132.45,3.91,5.72,138.28,2211.2,8295.47,1.02,42.57,129.8,2387.26,8057.02,9.4439,0.02,332,2212,100.0,10.36,6.1783,6
8,173,518.67,642.95,1587.6,1408.55,14.62,21.61,552.36,2388.11,9072.36,1.3,47.78,520.76,2388.13,8145.69,8.4901,0.03,395,2388,100.0,38.6,23.2583,90
9,161,518.67,643.06,1605.88,1429.27,14.62,21.61,551.99,2388.18,9101.15,1.3,48.2,520.59,2388.21,8168.24,8.469,0.03,395,2388,100.0,38.56,23.1981,11
10,84,491.19,607.35,1485.76,1251.66,9.35,13.65,333.84,2324.01,8725.44,1.08,44.35,315.28,2388.17,8064.17,9.2522,0.02,365,2324,100.0,24.51,14.6504,79
11,162,518.67,643.99,1602.72,1425.29,14.62,21.61,551.48,2388.25,9047.85,1.3,48.11,520.12,2388.22,8126.77,8.5198,0.03,395,2388,100.0,38.41,23.2199,6
12,74,518.67,642.83,1589.12,1413.02,14.62,21.61,553.4,2388.07,9054.09,1.3,47.51,521.84,2388.05,8140.45,8.4196,0.03,391,2388,100.0,38.77,23.4567,73
13,164,445.0,549.99,1353.32,1130.01,3.91,5.71,138.13,2211.68,8310.66,1.02,42.22,130.61,2387.69,8076.06,9.4588,0.02,331,2212,100.0,10.44,6.2744,30
14,160,491.19,608.15,1499.86,1268.72,9.35,13.66,333.56,2324.07,8718.64,1.07,44.84,313.91,2388.22,8046.39,9.2886,0.03,367,2324,100.0,24.29,14.5111,11
15,165,489.05,604.91,1504.8,1314.61,10.52,15.5,393.24,2319.06,8773.5,1.26,45.67,370.77,2388.28,8127.24,8.6981,0.03,372,2319,100.0,28.48,17.15,37
16,88,462.54,536.54,1258.5,1055.35,7.05,9.03,175.46,1915.11,8005.8,0.94,36.76,165.09,2028.03,7862.21,10.8913,0.02,307,1915,84.93,14.38,8.6428,67
17,264,449.44,556.05,1372.92,1130.05,5.48,8.0,195.13,2223.04,8352.71,1.02,42.04,182.94,2388.13,8075.26,9.3522,0.02,335,2223,100.0,14.85,8.8896,68
18,40,518.67,642.1,1587.42,1401.06,14.62,21.61,553.64,2388.08,9042.25,1.3,47.36,521.69,2388.1,8127.61,8.3997,0.03,391,2388,100.0,38.95,23.2661,99
19,172,518.67,643.19,1597.9,1416.75,14.62,21.61,553.5,2388.08,9139.14,1.3,47.66,521.42,2388.1,8202.93,8.47,0.03,395,2388,100.0,38.63,23.1715,22
20,101,449.44,555.69,1372.21,1135.17,5.48,8.0,193.78,2222.92,8358.73,1.02,42.02,183.09,2388.14,8072.08,9.3574,0.02,334,2223,100.0,14.69,8.8618,54
21,128,445.0,549.93,1358.51,1129.28,3.91,5.72,138.16,2211.91,8325.74,1.02,42.14,130.68,2388.03,8082.13,9.3705,0.02,331,2212,100.0,10.44,6.3061,97
22,159,445.0,550.27,1363.64,1143.75,3.91,5.72,139.28,2212.66,8371.27,1.02,42.52,130.37,2388.81,8128.98,9.4153,0.02,334,2212,100.0,10.58,6.327,10
23,49,462.54,536.71,1262.32,1052.92,7.05,9.03,175.72,1915.33,8010.74,0.94,36.74,164.72,2028.17,7876.61,10.8998,0.02,308,1915,84.93,14.32,8.5193,142
24,210,489.05,604.7,1494.95,1306.43,10.52,15.49,394.62,2318.9,8811.84,1.26,45.4,371.94,2388.1,8161.83,8.6523,0.03,368,2319,100.0,28.48,17.1653,77
25,147,449.44,555.75,1367.61,1123.17,5.48,8.0,194.3,2223.25,8366.49,1.03,41.88,182.64,2388.39,8088.81,9.3389,0.02,332,2223,100.0,14.88,8.9155,88
26,76,462.54,536.46,1254.26,1053.21,7.05,9.02,175.07,1915.43,8013.29,0.94,36.55,164.68,2028.31,7882.01,10.8545,0.02,307,1915,84.93,14.34,8.5638,163
27,68,518.67,642.58,1585.58,1399.63,14.62,21.61,553.61,2388.0,9064.11,1.3,47.32,522.41,2388.03,8145.63,8.4386,0.03,393,2388,100.0,39.09,23.3001,126
28,23,445.0,549.7,1353.65,1131.5,3.91,5.72,138.0,2211.66,8311.65,1.02,42.04,130.61,2387.78,8074.42,9.3652,0.02,332,2212,100.0,10.64,6.2497,138
29,101,489.05,604.74,1500.93,1311.46,10.52,15.49,394.79,2318.96,8777.9,1.26,45.25,371.41,2388.12,8131.98,8.6684,0.03,369,2319,100.0,28.25,17.0234,83
30,184,445.0,549.77,1354.51,1124.65,3.91,5.71,138.66,2212.28,8343.09,1.02,42.15,130.63,2388.4,8106.12,9.3839,0.02,332,2212,100.0,10.68,6.3138,78
31,123,445.0,548.96,1351.55,1120.46,3.91,5.71,139.12,2212.0,8325.35,1.02,42.05,130.6,2388.03,8087.45,9.326,0.02,332,2212,100.0,10.67,6.4166,75
32,170,462.54,537.28,1273.09,1059.07,7.05,9.03,174.68,1915.65,8036.46,0.94,36.98,164.63,2028.66,7897.14,10.9763,0.02,308,1915,84.93,14.3,8.5179,11
33,135,445.0,550.16,1356.28,1131.9,3.91,5.71,138.27,2211.68,8311.75,1.02,42.42,130.64,2387.69,8076.37,9.4459,0.02,332,2212,100.0,10.58,6.3014,53
34,52,445.0,549.35,1345.24,1119.45,3.91,5.72,138.94,2211.87,8323.68,1.02,41.87,130.89,2387.95,8087.61,9.3864,0.02,331,2212,100.0,10.61,6.4323,173
35,77,445.0,549.83,1359.15,1125.95,3.91,5.71,137.82,2211.56,8308.65,1.02,42.21,130.68,2387.6,8065.65,9.4221,0.02,332,2212,100.0,10.63,6.3991,63
36,163,449.44,556.07,1364.06,1131.55,5.48,8.0,194.99,2222.97,8358.32,1.02,41.91,183.24,2388.0,8066.07,9.3638,0.02,334,2223,100.0,15.01,8.9379,100
37,49,445.0,549.8,1360.02,1124.74,3.91,5.71,138.28,2212.03,8327.31,1.02,42.17,130.45,2388.01,8087.47,9.3538,0.02,331,2212,100.0,10.53,6.374,151
38,127,491.19,607.78,1488.24,1258.57,9.35,13.66,333.8,2324.02,8717.13,1.07,44.6,314.94,2388.1,8057.35,9.2741,0.03,367,2324,100.0,24.39,14.5421,55
39,149,462.54,537.11,1262.05,1053.09,7.05,9.03,175.53,1915.48,8020.4,0.94,37.1,164.69,2028.41,7886.88,10.9622,0.02,310,1915,84.93,14.13,8.5706,48
40,183,462.54,536.59,1263.76,1063.18,7.05,9.03,175.19,1915.48,8017.69,0.94,36.94,164.54,2028.33,7879.86,10.9769,0.02,307,1915,84.93,14.21,8.4885,37
