engine,cycle,setting_1,setting_2,(LPC outlet temperature) (◦R),(HPC outlet temperature) (◦R),(LPT outlet temperature) (◦R),(HPC outlet pressure) (psia),(Physical fan speed) (rpm),(Physical core speed) (rpm),(HPC outlet Static pressure) (psia),(Ratio of fuel flow to Ps30) (pps/psia),(Corrected fan speed) (rpm),(Bypass Ratio) ,(Bleed Enthalpy),(High-pressure turbines Cool air flow),(Low-pressure turbines Cool air flow)
1,36,25.005,0.62,536.95,1271.16,1051.62,175.67,1915.18,7998.94,36.91,164.61,2027.94,10.8817,307,14.25,8.6697
1,37,10.0076,0.25,604.84,1500.86,1311.0,394.31,2318.93,8764.83,45.41,371.34,2388.15,8.6536,369,28.4,17.1937
1,38,24.9987,0.62,536.76,1261.64,1045.94,176.01,1915.16,8003.33,36.82,164.32,2027.95,10.9054,306,14.23,8.5581
1,39,24.9981,0.6211,536.66,1267.66,1057.66,176.03,1915.13,7994.34,36.57,164.19,2027.95,10.9318,307,14.44,8.6205
1,40,10.0065,0.25,605.17,1505.09,1312.97,394.37,2318.94,8770.13,45.57,371.16,2388.16,8.6373,370,28.55,17.0936
1,41,25.0051,0.6211,536.74,1261.81,1048.78,175.76,1915.12,7997.12,36.95,164.97,2028.03,10.8998,307,14.37,8.5433
1,42,35.0029,0.84,555.34,1365.14,1136.45,194.88,2222.69,8335.88,41.9,182.74,2387.72,9.3769,334,14.66,8.874
1,43,42.0037,0.8409,549.78,1350.28,1127.59,138.88,2211.61,8309.94,41.95,131.44,2387.65,9.3745,331,10.58,6.3839
1,44,0.0002,0.0,642.57,1582.9,1405.22,552.97,2388.16,9037.76,47.65,521.63,2388.16,8.4635,393,38.81,23.2704
1,45,35.0033,0.84,555.28,1370.22,1129.04,194.41,2222.66,8338.36,41.91,182.67,2387.74,9.3577,334,14.82,9.0246
1,46,42.0046,0.84,549.44,1354.85,1125.95,138.16,2211.61,8309.66,42.15,130.9,2387.63,9.3717,331,10.63,6.3498
1,47,10.0049,0.25,605.01,1500.08,1309.65,394.09,2318.95,8763.1,45.52,371.27,2388.23,8.6394,371,28.57,17.1489
1,48,0.0004,0.0014,643.26,1588.58,1402.51,552.61,2388.16,9037.94,47.54,521.5,2388.12,8.4318,392,38.89,23.3464
1,49,41.9986,0.8402,549.93,1354.55,1132.5,138.81,2211.6,8305.4,42.11,130.12,2387.7,9.3749,330,10.44,6.4362
1,50,35.0059,0.8401,554.89,1369.48,1126.96,195.16,2222.7,8335.17,41.93,182.99,2387.77,9.3186,334,14.85,8.9934
1,51,24.9994,0.621,536.75,1263.03,1051.85,175.05,1915.11,7995.32,36.63,164.42,2027.98,10.8934,306,14.22,8.6027
1,52,42.0015,0.8404,549.86,1354.41,1129.39,138.47,2211.53,8298.45,42.04,130.76,2387.65,9.3789,331,10.53,6.3364
1,53,10.0061,0.25,605.05,1501.82,1311.23,394.68,2318.99,8759.83,45.29,371.26,2388.21,8.6412,371,28.49,17.1087
1,54,0.002,0.0,642.82,1587.15,1399.85,552.86,2388.1,9034.62,47.64,521.56,2388.05,8.4297,393,38.88,23.254
1,55,0.0018,0.0,642.91,1587.27,1404.67,553.61,2388.12,9043.32,47.52,521.06,2388.1,8.5013,392,38.86,23.2777
1,56,42.0043,0.84,549.51,1345.58,1135.74,138.52,2211.57,8304.33,42.23,130.29,2387.59,9.3868,332,10.59,6.4427
1,57,20.0046,0.7003,606.65,1486.48,1255.67,334.77,2323.93,8713.81,44.4,314.39,2388.05,9.2407,365,24.68,14.6122
1,58,35.0031,0.84,555.58,1371.01,1133.15,193.74,2222.67,8334.28,42.06,182.41,2387.75,9.3193,334,14.73,8.8635
1,59,42.0053,0.8412,549.36,1352.92,1125.09,138.73,2211.56,8303.55,42.2,130.35,2387.66,9.368,330,10.45,6.3491
1,60,25.002,0.62,537.03,1262.69,1047.52,175.0,1915.12,7999.59,36.74,164.32,2028.02,10.8843,308,14.31,8.6567
1,61,20.0011,0.7,607.51,1481.61,1253.1,334.33,2323.98,8707.14,44.47,315.14,2388.06,9.2412,367,24.53,14.6998
1,62,0.0029,0.0,643.24,1591.46,1405.31,553.34,2388.14,9040.41,47.54,521.83,2388.21,8.4424,392,38.83,23.1994
1,63,41.9992,0.8413,550.1,1355.17,1123.54,138.41,2211.53,8311.01,42.27,130.96,2387.6,9.362,331,10.36,6.3852
1,64,35.0052,0.8406,555.71,1359.17,1129.99,193.78,2222.73,8340.5,42.2,183.37,2387.79,9.3277,334,14.76,8.8812
1,65,0.0016,0.0006,642.62,1596.62,1404.65,553.42,2388.18,9040.81,47.55,521.0,2388.11,8.4554,394,38.73,23.1253
1,66,35.0053,0.84,555.55,1371.45,1128.96,194.45,2222.68,8341.42,42.25,182.98,2387.74,9.3331,334,14.92,8.8907
1,67,10.0015,0.25,605.01,1504.34,1311.13,392.95,2318.99,8763.55,45.64,371.09,2388.19,8.6675,372,28.47,17.1321
1,68,0.0,0.0,642.88,1586.74,1409.1,554.08,2388.1,9043.13,47.58,521.51,2388.15,8.478,394,38.9,23.2609
1,69,0.0009,0.0009,642.48,1591.9,1409.85,552.82,2388.15,9042.91,47.63,521.43,2388.08,8.4428,392,38.9,23.2975
1,70,42.0024,0.8411,549.91,1352.21,1125.0,139.43,2211.62,8303.98,42.04,130.67,2387.57,9.3926,330,10.53,6.4002
1,71,20.0074,0.7,607.44,1482.17,1253.33,334.53,2323.93,8712.14,44.5,314.82,2388.01,9.2346,365,24.4,14.6559
1,72,25.0057,0.62,536.96,1260.81,1040.99,175.52,1915.1,7996.85,36.92,164.35,2028.03,10.8678,307,14.24,8.6689
1,73,25.0025,0.6217,536.57,1260.77,1050.42,176.3,1915.13,8004.96,36.85,164.95,2028.04,10.8815,308,14.16,8.6025
1,74,20.0033,0.702,607.16,1485.05,1253.12,334.09,2323.95,8704.89,44.36,314.49,2388.09,9.2487,366,24.33,14.689
1,75,25.0039,0.62,536.43,1258.23,1049.25,175.13,1915.07,7995.45,36.81,164.46,2027.99,10.894,308,14.19,8.5761
1,76,25.0023,0.62,537.02,1268.7,1049.71,176.05,1915.11,8003.74,36.81,164.05,2028.03,10.9035,308,14.2,8.6043
1,77,42.0008,0.8405,549.99,1356.65,1129.01,137.8,2211.59,8304.05,42.07,130.41,2387.63,9.3571,330,10.59,6.4279
1,78,25.0024,0.62,536.41,1262.7,1048.63,175.2,1915.15,8000.19,36.71,164.53,2027.99,10.9131,308,14.15,8.5599
1,79,42.0017,0.84,549.7,1354.71,1120.3,138.79,2211.6,8303.68,42.15,130.63,2387.63,9.3851,333,10.71,6.3779
1,80,42.0037,0.84,549.39,1362.36,1135.78,138.94,2211.57,8304.73,42.19,130.11,2387.63,9.4237,330,10.61,6.4276
1,81,20.0011,0.7,607.61,1491.73,1263.49,335.04,2323.94,8708.2,44.52,314.39,2388.05,9.2411,366,24.45,14.6586
1,82,0.0027,0.0008,643.26,1588.99,1407.97,552.85,2388.2,9039.16,47.84,521.02,2388.16,8.4342,395,38.63,23.2127
1,83,42.0068,0.84,549.11,1352.66,1135.18,138.17,2211.6,8301.72,42.07,130.25,2387.66,9.3919,332,10.39,6.2655
1,84,41.9983,0.84,549.65,1352.66,1134.46,138.3,2211.59,8300.56,42.26,130.73,2387.66,9.3779,332,10.64,6.4574
1,85,0.0,0.0011,642.74,1587.82,1409.12,553.48,2388.1,9041.37,47.68,521.22,2388.2,8.4494,393,38.88,23.2781
1,86,42.0045,0.84,549.23,1357.31,1129.9,138.09,2211.6,8307.89,42.1,130.21,2387.58,9.3934,332,10.58,6.2943
1,87,42.0024,0.8413,549.92,1353.15,1123.53,138.61,2211.56,8309.33,42.3,130.28,2387.61,9.3545,331,10.49,6.3436
1,88,35.0043,0.8416,555.62,1368.09,1125.3,194.0,2222.68,8338.97,42.1,182.76,2387.78,9.383,335,14.61,8.8893
1,89,9.9995,0.2514,605.25,1504.64,1312.96,393.97,2319.06,8763.25,45.65,371.25,2388.2,8.6515,369,28.72,17.1524
1,90,0.0003,0.0,642.95,1588.98,1409.61,553.31,2388.13,9041.44,47.61,520.9,2388.14,8.4451,396,38.74,23.1633
1,91,25.0027,0.62,536.99,1266.82,1051.87,175.02,1915.11,8001.0,36.97,165.07,2028.02,10.9231,308,14.17,8.5937
1,92,41.9984,0.8411,548.99,1352.89,1137.5,138.58,2211.59,8317.33,42.26,130.61,2387.58,9.3743,332,10.54,6.3763
1,93,20.0005,0.7009,608.0,1486.6,1260.39,334.76,2323.95,8717.43,44.58,314.62,2388.08,9.2455,366,24.43,14.6864
1,94,41.9992,0.84,550.1,1353.17,1126.68,139.02,2211.61,8305.16,42.11,129.63,2387.68,9.436,331,10.67,6.3511
1,95,35.0058,0.8403,555.64,1369.57,1136.49,193.87,2222.64,8339.32,42.0,182.37,2387.76,9.3649,335,14.8,8.8716
1,96,42.0062,0.8402,549.65,1358.37,1125.38,139.0,2211.54,8308.02,42.2,130.49,2387.55,9.3981,330,10.49,6.3469
1,97,42.0015,0.8413,549.43,1354.86,1127.44,138.91,2211.66,8314.36,42.39,130.44,2387.63,9.3681,329,10.75,6.3409
1,98,0.0025,0.0015,643.26,1593.43,1409.77,553.19,2388.13,9048.15,47.49,521.22,2388.17,8.4587,395,38.62,23.3025
1,99,10.0051,0.2502,604.97,1501.19,1309.55,393.8,2319.04,8763.64,45.62,371.05,2388.25,8.6636,369,28.53,17.1145
1,100,20.0027,0.7,607.6,1488.43,1259.11,333.85,2323.93,8704.26,44.83,314.17,2388.06,9.249,367,24.51,14.6742
1,101,42.0021,0.84,549.99,1349.48,1135.38,138.37,2211.56,8308.89,42.19,130.44,2387.62,9.3842,330,10.5,6.4038
1,102,35.0063,0.84,555.9,1376.66,1139.31,194.2,2222.67,8342.95,42.19,182.22,2387.77,9.3595,334,14.86,8.8523
1,103,20.0057,0.701,607.32,1495.89,1258.36,334.38,2323.93,8704.52,44.51,314.23,2388.13,9.2488,366,24.22,14.7405
1,104,35.0078,0.84,556.29,1362.75,1129.45,194.42,2222.7,8337.45,42.13,182.92,2387.77,9.3655,335,14.81,8.9265
1,105,20.0052,0.7,607.04,1487.94,1261.08,334.66,2323.99,8712.03,44.71,314.16,2388.1,9.258,364,24.37,14.5177
1,106,0.0008,0.0019,643.12,1590.38,1414.45,552.97,2388.16,9041.7,47.65,520.52,2388.12,8.4556,394,38.68,23.2542
1,107,35.0037,0.8411,555.85,1365.7,1139.21,193.72,2222.69,8344.36,42.1,183.02,2387.8,9.3838,337,14.85,8.9967
1,108,41.9998,0.8414,550.09,1362.34,1133.92,137.57,2211.58,8316.05,42.25,130.73,2387.7,9.3829,331,10.42,6.3999
1,109,41.9991,0.8419,549.88,1360.26,1137.95,138.15,2211.59,8309.36,42.32,130.97,2387.66,9.3712,332,10.47,6.3742
1,110,20.0074,0.7019,607.79,1489.6,1267.13,333.74,2323.96,8709.6,44.57,314.53,2388.03,9.2481,368,24.3,14.6406
1,111,0.0027,0.0017,643.25,1595.96,1419.21,552.63,2388.18,9046.69,47.84,520.65,2388.18,8.4483,393,38.47,23.1974
1,112,42.0049,0.84,549.91,1360.02,1137.89,138.53,2211.46,8306.58,42.35,130.77,2387.58,9.4154,331,10.64,6.4053
1,113,0.0013,0.0,642.6,1592.73,1418.58,552.23,2388.17,9051.13,47.67,520.45,2388.21,8.4546,392,38.74,23.2
1,114,35.0026,0.84,556.07,1364.28,1136.49,194.18,2222.74,8341.01,42.28,182.57,2387.83,9.3308,335,14.78,8.7806
1,115,20.0045,0.7013,608.28,1481.57,1267.61,333.01,2323.98,8716.68,44.62,314.63,2388.13,9.3039,368,24.2,14.5302
1,116,24.998,0.62,536.47,1267.58,1058.31,174.62,1915.12,8004.86,36.86,164.87,2027.97,10.9242,309,14.06,8.7042
1,117,25.0,0.6219,536.52,1263.31,1048.66,175.33,1915.14,7997.68,37.01,164.11,2028.0,10.952,309,14.22,8.5179
1,118,35.003,0.84,555.76,1373.37,1140.43,194.35,2222.68,8343.6,42.21,182.88,2387.77,9.3875,335,14.83,8.9242
1,119,25.0056,0.62,537.29,1266.53,1061.97,175.01,1915.11,7998.7,36.85,164.87,2027.95,10.9068,307,14.31,8.5953
1,120,34.9991,0.8409,555.99,1369.65,1144.41,193.68,2222.68,8342.06,42.44,182.38,2387.85,9.3749,335,14.79,8.8366
1,121,10.0062,0.2512,605.22,1509.78,1308.64,393.39,2319.09,8764.85,45.71,370.99,2388.3,8.7223,371,28.51,17.0759
1,122,0.0022,0.0019,643.12,1597.91,1422.4,552.44,2388.21,9044.86,47.79,520.1,2388.23,8.4731,395,38.91,23.2788
1,123,20.0003,0.7,607.84,1491.05,1257.21,334.88,2324.0,8712.6,44.92,314.37,2388.15,9.3054,366,24.55,14.6129
1,124,42.0048,0.8414,550.12,1356.97,1139.01,137.97,2211.61,8309.64,42.37,129.9,2387.64,9.4158,331,10.65,6.2579
1,125,42.0071,0.84,549.86,1354.22,1135.64,138.59,2211.51,8314.42,42.39,129.49,2387.57,9.4221,332,10.4,6.3026
1,126,10.0062,0.2516,605.58,1513.22,1330.39,393.66,2319.12,8769.0,45.76,370.45,2388.31,8.7116,372,28.42,17.1031
1,127,10.0037,0.2519,605.0,1515.55,1315.4,393.56,2319.08,8774.03,45.86,371.11,2388.28,8.7248,372,28.31,17.0151
1,128,0.002,0.0,643.07,1607.03,1429.4,552.3,2388.26,9041.28,47.96,520.63,2388.21,8.4948,396,38.69,23.1347
1,129,10.0024,0.2506,605.81,1505.05,1320.72,393.52,2319.06,8768.69,45.81,371.22,2388.4,8.7153,370,28.23,17.0874
1,130,42.0003,0.84,550.31,1365.09,1135.81,138.12,2211.53,8309.2,42.52,130.12,2387.59,9.4074,332,10.53,6.3195
1,131,24.998,0.62,537.45,1265.45,1055.07,175.09,1915.1,8001.26,37.17,164.14,2027.98,10.9495,308,13.93,8.4511
1,132,20.0076,0.7,608.17,1498.8,1265.93,333.59,2324.01,8719.63,44.92,314.62,2388.13,9.3285,366,24.2,14.6086
1,133,42.0046,0.8416,549.9,1358.5,1131.5,138.2,2211.48,8306.47,42.45,130.02,2387.47,9.4478,331,10.51,6.2807
1,134,35.0067,0.8403,556.74,1367.93,1137.16,193.89,2222.72,8341.96,42.5,182.91,2387.75,9.402,335,14.92,8.7454
1,135,10.001,0.25,605.79,1505.33,1323.98,393.74,2319.07,8768.57,45.94,370.32,2388.29,8.7483,370,28.38,16.929
1,136,20.0047,0.7,608.47,1499.76,1262.28,333.37,2324.0,8716.39,44.74,313.73,2388.17,9.3026,367,24.56,14.4707
1,137,20.0075,0.7003,607.89,1487.05,1265.49,334.05,2324.01,8708.92,44.74,313.72,2388.18,9.2855,367,24.2,14.6084
1,138,10.0,0.25,605.39,1517.51,1325.31,393.49,2319.13,8768.23,45.87,370.44,2388.34,8.7529,371,28.3,17.0501
1,139,41.9986,0.8408,549.88,1361.61,1139.52,138.54,2211.5,8319.48,42.66,129.51,2387.57,9.4664,332,10.52,6.2593
1,140,35.0069,0.8406,556.36,1376.07,1139.35,194.98,2222.62,8340.82,42.43,182.95,2387.7,9.397,338,14.68,8.7953
1,141,34.9991,0.841,556.33,1375.95,1144.21,193.8,2222.7,8346.71,42.54,182.67,2387.76,9.4441,339,14.61,8.9616
1,142,20.0025,0.7,608.28,1497.31,1270.91,333.35,2324.03,8714.75,44.99,314.28,2388.15,9.2781,367,24.13,14.6524
1,143,35.0014,0.84,556.56,1374.08,1145.42,194.12,2222.65,8340.36,42.43,182.57,2387.71,9.4254,335,14.71,8.9133
1,144,0.0017,0.0018,643.02,1601.91,1429.43,551.92,2388.27,9040.24,48.09,520.24,2388.32,8.5092,395,38.27,23.1236
1,145,35.0007,0.8402,556.59,1376.19,1152.04,193.05,2222.67,8338.92,42.4,182.61,2387.77,9.4189,338,14.72,8.824
1,146,10.0006,0.2516,605.94,1511.92,1326.5,393.18,2319.23,8770.07,46.18,370.52,2388.43,8.7345,372,28.16,16.9984
1,147,25.0005,0.62,537.5,1268.62,1057.88,174.77,1915.02,8001.23,37.41,164.56,2027.97,10.9764,310,14.34,8.4476
1,148,0.0024,0.0013,643.73,1605.33,1425.76,551.69,2388.31,9039.84,48.07,519.76,2388.31,8.524,397,38.55,23.0079
1,149,42.0017,0.8414,550.49,1366.01,1149.81,137.76,2211.38,8307.72,42.77,129.55,2387.4,9.4765,332,10.45,6.2285
2,1,0.0025,0.0,642.04,1588.91,1404.3,552.8,2388.02,9063.58,47.36,521.38,2388.09,8.4285,393,38.88,23.2326
2,2,35.0058,0.84,556.13,1363.81,1124.7,194.62,2223.04,8354.83,42.01,183.06,2388.12,9.3332,334,14.86,8.9052
2,3,0.002,0.0,642.76,1588.03,1407.73,553.13,2388.07,9063.35,47.39,521.91,2388.09,8.4273,393,38.73,23.2169
2,4,41.9998,0.84,549.96,1348.36,1122.03,138.79,2212.06,8321.27,41.89,130.11,2388.18,9.3489,331,10.68,6.4105
2,5,0.0024,0.002,642.21,1586.67,1407.04,553.86,2388.03,9061.96,47.4,521.48,2388.04,8.4242,391,39.03,23.4084
2,6,20.0033,0.7001,607.11,1481.72,1248.71,335.2,2323.96,8729.45,44.47,315.37,2388.16,9.2362,364,24.41,14.6687
2,7,10.0047,0.25,604.86,1505.35,1310.27,394.1,2318.92,8790.67,45.28,371.47,2388.1,8.667,369,28.61,17.1675
2,8,0.0021,0.0,642.31,1581.99,1405.72,554.92,2388.05,9064.63,47.4,521.73,2388.01,8.4187,392,39.0,23.4171
2,9,10.0032,0.2514,604.81,1495.56,1305.39,394.87,2318.98,8782.01,45.34,371.78,2388.1,8.6771,368,28.69,17.1786
2,10,25.0001,0.62,536.87,1263.73,1044.97,175.78,1915.45,8016.44,36.71,164.47,2028.36,10.8924,305,14.28,8.508
2,11,10.0009,0.25,604.4,1496.15,1307.82,394.65,2318.88,8779.67,45.41,371.46,2388.11,8.6813,368,28.56,17.2614
2,12,42.0057,0.8413,549.44,1354.31,1127.54,139.22,2212.0,8321.45,42.05,130.45,2388.08,9.3344,332,10.63,6.2389
2,13,42.0072,0.8415,549.7,1349.5,1126.37,139.17,2212.03,8325.22,42.09,130.53,2388.16,9.3575,330,10.5,6.3702
2,14,0.0009,0.0,642.19,1584.74,1400.46,553.22,2388.08,9069.03,47.47,521.57,2388.1,8.4366,392,39.07,23.4123
2,15,42.0066,0.8418,549.25,1350.47,1129.38,139.19,2212.04,8321.55,42.03,130.74,2388.09,9.3482,332,10.51,6.3607
2,16,0.0016,0.0,642.05,1584.18,1402.85,553.84,2388.08,9060.64,47.38,521.38,2388.05,8.4667,393,38.94,23.3335
2,17,9.9988,0.2504,604.04,1497.06,1313.28,394.27,2318.91,8794.3,45.41,371.7,2388.09,8.6804,368,28.63,17.0145
2,18,42.0035,0.84,549.75,1353.68,1122.27,138.95,2211.96,8323.2,41.86,130.61,2388.11,9.3826,329,10.64,6.4294
2,19,35.0027,0.84,556.15,1369.51,1130.29,194.61,2223.09,8361.69,41.86,182.96,2388.19,9.3259,334,14.75,8.9394
2,20,35.002,0.84,556.01,1366.15,1124.31,194.35,2223.1,8357.43,41.9,183.09,2388.18,9.33,334,14.89,8.7571
2,21,42.0026,0.8403,549.23,1351.49,1123.6,139.03,2212.06,8328.39,42.0,131.03,2388.08,9.3538,331,10.63,6.3981
2,22,42.0034,0.8412,548.94,1350.15,1126.44,138.82,2212.08,8332.65,42.18,130.86,2388.1,9.3864,330,10.65,6.3243
2,23,35.0033,0.84,556.06,1362.68,1122.25,194.39,2223.13,8359.48,41.89,183.07,2388.18,9.3181,333,14.94,8.9039
2,24,20.0042,0.7011,607.15,1482.68,1250.3,335.58,2324.0,8728.19,44.49,314.86,2388.16,9.2304,365,24.62,14.6853
2,25,42.0047,0.84,549.23,1350.6,1123.76,138.69,2211.94,8329.0,42.06,130.44,2388.06,9.3814,330,10.58,6.4372
2,26,42.0054,0.84,549.8,1359.01,1125.52,138.47,2212.06,8329.1,41.84,130.31,2388.09,9.372,330,10.67,6.3556
2,27,25.0018,0.6204,536.8,1258.35,1041.62,175.91,1915.46,8020.0,36.82,164.66,2028.39,10.8834,308,14.34,8.5547
2,28,42.0023,0.84,549.75,1355.35,1123.07,139.33,2211.99,8326.96,41.95,130.98,2388.0,9.3602,330,10.62,6.3142
2,29,0.0011,0.0,642.37,1590.06,1404.71,553.66,2388.09,9061.66,47.44,522.59,2388.07,8.419,391,39.04,23.3727
2,30,42.0009,0.84,549.59,1349.38,1125.87,138.46,2211.93,8328.24,42.23,130.7,2388.04,9.3754,329,10.53,6.3671
2,31,20.0012,0.7007,607.26,1475.22,1254.78,335.16,2324.0,8735.72,44.24,315.18,2388.12,9.1702,366,24.48,14.7078
2,32,42.0068,0.84,549.96,1354.0,1133.31,139.56,2212.05,8325.41,42.06,130.21,2388.16,9.3464,331,10.58,6.3633
2,33,20.004,0.7,607.09,1482.68,1256.34,334.48,2323.94,8736.98,44.23,315.57,2388.12,9.1938,364,24.61,14.7845
2,34,0.0024,0.0,642.47,1596.96,1401.32,553.52,2388.06,9063.22,47.51,521.57,2388.04,8.4111,394,38.88,23.3349
2,35,0.0029,0.0011,642.21,1588.21,1410.57,552.89,2388.06,9063.05,47.56,521.62,2388.06,8.4041,395,38.93,23.3773
2,36,41.9995,0.8404,549.31,1352.23,1118.35,138.57,2212.07,8329.81,42.0,131.2,2388.13,9.3349,331,10.67,6.4578
2,37,20.0,0.7,606.91,1487.11,1253.67,334.65,2323.96,8735.19,44.47,315.21,2388.18,9.2243,366,24.66,14.673
2,38,20.0013,0.7,607.91,1480.77,1247.22,334.53,2324.03,8732.31,44.12,315.58,2388.17,9.2041,364,24.54,14.7378
2,39,9.9992,0.25,604.66,1501.94,1305.22,394.53,2318.91,8790.33,45.43,371.86,2388.15,8.6386,368,28.58,17.2025
2,40,35.0032,0.8413,555.77,1361.42,1131.25,195.03,2223.07,8350.11,42.07,183.37,2388.13,9.312,333,15.01,8.8263
2,41,42.0074,0.8411,549.55,1352.85,1123.89,138.72,2212.04,8326.49,42.06,130.43,2388.02,9.3573,332,10.76,6.523
2,42,42.0067,0.8401,549.01,1357.86,1127.57,138.58,2212.06,8329.96,41.98,130.49,2388.13,9.3545,332,10.59,6.3099
2,43,35.0025,0.84,555.33,1369.64,1127.2,194.62,2223.01,8359.07,41.94,183.6,2388.16,9.3183,333,14.68,8.9617
2,44,20.0006,0.7,607.22,1485.64,1255.3,334.88,2324.04,8731.08,44.32,315.05,2388.12,9.2276,364,24.46,14.7283
